AtcoCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
0180BAC30163,bthjawd,,,Old Quarry,en,,,,,Bloomfield Drive,en,,,W-Bound,en,W,E0035066,Odd Down,Bath,,,,,,0,U,373826,162872,-2.37736,51.3643,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30164,bthjagm,,,Bloomfield Rise North,en,,,,,Bloomfield Drive,en,,,W-Bound,en,W,E0035066,Odd Down,Bath,,,,,,0,U,373640,162828,-2.38001,51.3639,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30165,bthjadw,,,Bloomfield Rise North,en,,,,,Bloomfield Drive,en,,,E-Bound,en,E,E0035066,Odd Down,Bath,,,,,,0,U,373595,162825,-2.38066,51.36387,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30167,bthdwpg,,,Frome Road,en,,,,,Bloomfield Drive,en,,,N-Bound,en,N,E0035066,Odd Down,Bath,,,,,,0,U,373457,162603,-2.38262,51.36187,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30168,bthdwpt,,,Frome Road,en,,,,,Bloomfield Drive,en,,,S-Bound,en,S,E0035066,Odd Down,Bath,,,,,,0,U,373463,162591,-2.38253,51.36176,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30169,bthjawt,,,Bloomfield Drive,en,,,,,Bloomfield Road,en,,,S-Bound,en,S,E0035066,Odd Down,Bath,,,,,,0,U,373851,162803,-2.37699,51.36368,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30170,bthjatp,,,Somerdale Avenue,en,,,,,Bloomfield Road,en,,,S-Bound,en,S,E0035066,Odd Down,Bath,,,,,,0,U,373807,162644,-2.37761,51.36225,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30171,bthjapt,,,Somerdale Avenue,en,,,,,Bloomfield Road,en,,,N-Bound,en,N,E0035066,Odd Down,Bath,,,,,,0,U,373786,162605,-2.37791,51.3619,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAC30172,bthjamw,,,Noads Corner,en,,,,,Bloomfield Road,en,,,N-Bound,en,N,E0035066,Odd Down,Bath,,,,,,0,U,373729,162447,-2.37872,51.36048,BCT,MKD,OTH,,,,1,2013-03-11T16:46:17,2013-03-11T16:46:17,,new,act
0180BAC30173,bthjamt,,,Noads Corner,en,,,,,Bloomfield Road,en,,,S-Bound,en,S,E0035066,Odd Down,Bath,,,,,,0,U,373731,162427,-2.37869,51.3603,BCT,MKD,OTH,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
